Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"اچو شیخ","کنیز فاطمہ",10,"7 8 9 20 21 35 36 37","9:5 9:7 9:9 21:19 21:20 21:21 38:33 38:35 38:36 38:37"
"اچو شیخ","گوبند سنگھ",1,"7","9:5"
"بخت جہان","بھاگ بھری",23,"2 3 4 58 60 61 71 72 73 74 76 77 78","1:3 2:3 3:3 4:3 4:4 5:4 56:60 60:60 61:60 61:61 62:61 69:74 70:74 71:74 72:74 73:74 74:74 75:74 75:78 76:78 77:78 78:78 79:78"
"بخت جہان","بہشت بی بی",34,"1 20 21 23 24 25 26 27 37 38 39 41 48 49 50 51 62 63 65 66 67 90 91 92 93","1:1 2:1 18:23 19:23 20:23 24:23 24:25 25:25 27:25 27:27 28:27 35:40 37:40 39:40 42:40 46:51 47:51 48:51 49:51 50:51 52:51 60:64 61:64 62:64 66:64 66:66 68:66 90:91 91:91 92:91 92:92 93:92 93:93 94:93"
"بخت جہان","جسونت سنگھ",5,"1 2 3","1:1 2:1 2:3 3:3 4:3"
"بخت جہان","حافظ جی",46,"4 5 6 7 8 10 11 12 27 28 29 30 31 33 34 51 52 53 55 58 60 62 63 65 68 69 70 72 73 74 75 76","2:7 3:7 4:7 5:7 6:7 7:7 9:7 9:12 10:12 11:12 13:12 25:30 27:30 28:30 29:30 31:30 31:32 35:32 35:33 35:34 49:54 50:54 52:54 53:54 56:54 56:60 60:60 61:60 61:64 62:64 66:64 66:65 66:70 68:70 69:70 70:70 71:70 71:74 72:74 73:74 74:74 75:74 75:75 76:75 76:76 77:76"
"بخت جہان","حیات بی بی",17,"22 24 25 26 28 29 30 48 49 50 51 52 53 54","20:25 24:25 25:25 27:25 27:29 28:29 29:29 31:29 46:51 47:51 48:51 49:51 50:51 52:51 52:53 53:53 56:53"
"بخت جہان","رابعہ بی بی",10,"78 79 80 88 93 94 95","76:81 77:81 78:81 79:81 80:81 90:86 91:96 92:96 93:96 94:96"
"بخت جہان","روشن بخش",42,"8 9 10 11 12 13 15 16 22 24 25 26 28 29 30 31 33 34 58 60 61 74 75 76 77 82 87 88 93 94 95","6:11 7:11 9:11 10:11 11:11 13:11 13:13 14:13 14:16 15:16 16:16 17:16 20:25 24:25 25:25 27:25 27:29 28:29 29:29 31:29 31:31 35:31 35:32 35:34 56:61 60:61 61:61 62:61 72:77 73:77 74:77 75:77 76:77 77:77 78:77 80:85 90:85 90:86 91:96 92:96 93:96 94:96"
"بخت جہان","زہراں بی بی",1,"89","90:89"
"بخت جہان","زینب بیگم",20,"1 2 5 6 7 8 9 12 13 14 15 16","1:2 2:2 3:2 3:7 4:7 5:7 6:7 7:7 9:7 9:8 9:9 10:9 10:15 11:15 13:15 14:15 15:15 16:15 16:16 17:16"
"بخت جہان","سکھ دیپ سنگھ",2,"1","1:1 2:1"
"بخت جہان","شیداں پاؤنڈوں والی",19,"5 6 7 8 21 22 24 48 49 50 51 52 53 54","3:8 4:8 5:8 6:8 7:8 9:8 19:24 20:24 24:24 25:24 46:51 47:51 48:51 49:51 50:51 52:51 52:53 53:53 56:53"
"بخت جہان","صاحباں",38,"3 4 5 6 8 9 10 11 12 16 17 18 19 20 22 29 30 31 33 34 35 36 37 38 39 40","1:6 2:6 3:6 4:6 5:6 6:6 7:6 7:10 9:10 10:10 11:10 11:12 13:12 14:19 15:19 16:19 17:19 18:19 19:19 20:19 20:20 24:20 24:21 27:31 28:31 29:31 31:31 35:31 35:33 35:34 35:35 37:35 37:36 37:37 39:37 39:38 39:39 42:39"
"بخت جہان","صغرا بی بی",47,"7 8 9 10 19 20 21 23 24 25 26 27 28 29 30 31 33 37 38 39 41 48 49 50 51 52 53 54 55 64 66 67 90 91","5:10 6:10 7:10 9:10 10:10 11:10 17:22 18:22 19:22 20:22 24:22 24:23 24:24 25:24 25:25 27:25 27:26 27:27 28:27 28:28 29:28 29:29 31:29 31:30 31:32 35:32 35:40 37:40 39:40 42:40 46:51 47:51 48:51 49:51 50:51 52:51 52:53 53:53 56:53 56:54 56:55 62:67 66:67 68:67 90:91 91:91 92:91"
"بخت جہان","عزیز جہان",8,"25 26 27 54 56 58","24:27 25:27 27:27 28:27 52:56 53:56 56:56 60:56"
"بخت جہان","غلام محمد",17,"3 4 5 58 60 61 75 76 77 78","1:5 2:5 3:5 4:5 5:5 6:5 56:61 60:61 61:61 62:61 73:78 74:78 75:78 76:78 77:78 78:78 79:78"
"بخت جہان","لبناں سنگھ",24,"43 44 45 46 47 48 58 60 61 74 75 76 77 78 79","42:45 44:45 45:45 46:45 46:46 47:46 47:47 48:47 48:48 49:48 56:61 60:61 61:61 62:61 72:77 73:77 74:77 75:77 76:77 77:77 78:77 78:79 79:79 80:79"
"بخت جہان","محمد جہان نمبردار",82,"4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 22 24 25 26 27 29 30 33 35 36 38 39 41 43 44 45 46 47 48 54 56 58 59 61 62 64 65 66 67 68 69 70 77 78 79 80 89 90 91 92","2:7 3:7 4:7 5:7 6:7 7:7 9:7 9:9 10:9 10:11 11:11 13:11 13:15 14:15 15:15 16:15 16:17 17:17 18:17 18:19 19:19 20:19 20:20 24:20 24:25 25:25 27:25 27:26 27:27 28:27 28:30 29:30 31:30 31:35 35:35 37:35 37:40 39:40 42:40 42:45 44:45 45:45 46:45 46:46 47:46 47:48 48:48 49:48 52:56 53:56 56:56 60:56 60:57 60:58 60:59 60:63 61:63 62:63 66:63 66:64 66:65 66:66 68:66 68:67 68:68 69:68 69:70 70:70 71:70 75:80 76:80 77:80 78:80 79:80 80:80 90:89 90:90 91:90 91:91 92:91 92:92 93:92"
"بخت جہان","محکم دین",10,"78 79 80 88 93 94 95","76:81 77:81 78:81 79:81 80:81 90:86 91:96 92:96 93:96 94:96"
"بخت جہان","نور بیگم",47,"1 2 4 5 7 8 9 11 12 13 14 15 16 17 18 19 25 26 27 28 29 30 37 38 39 41 46 47 48 49","1:2 2:2 3:2 3:5 4:5 5:5 6:5 6:8 7:8 9:8 9:9 10:9 10:13 11:13 13:13 14:13 14:14 15:14 15:15 16:15 16:16 17:16 17:17 18:17 18:18 19:18 19:19 20:19 24:27 25:27 27:27 28:27 28:29 29:29 31:29 31:30 35:40 37:40 39:40 42:40 44:49 45:49 46:49 47:49 48:49 49:49 50:49"
"بخت جہان","پیر بخش",5,"9 10 11 12","7:12 9:12 10:12 11:12 13:12"
"بخت جہان","چھیمو",12,"47 48 49 50 51 52 58 60","45:50 46:50 47:50 48:50 49:50 50:50 52:50 52:52 53:52 56:60 60:60 61:60"
"بخت جہان","کنیز فاطمہ",76,"1 2 3 4 5 6 7 8 9 10 11 12 16 17 18 19 20 22 30 31 32 34 35 36 37 38 44 45 46 47 48 49 58 60 61 63 65 67 68 69 70 71 72 73 74 75 76 77 78 79","1:2 2:2 3:2 3:3 4:3 4:5 5:5 6:5 6:7 7:7 9:7 9:9 10:9 10:10 11:10 11:11 13:11 13:12 14:19 15:19 16:19 17:19 18:19 19:19 20:19 20:20 24:20 24:21 28:33 29:33 31:33 35:33 35:35 37:35 37:36 37:37 39:37 42:47 44:47 45:47 46:47 47:47 48:47 48:48 49:48 49:49 50:49 56:60 60:60 61:60 61:61 62:61 62:64 66:64 66:69 68:69 69:69 70:69 70:70 71:70 71:71 72:71 72:73 73:73 74:73 74:74 75:74 75:76 76:76 77:76 77:77 78:77 78:78 79:78 79:79 80:79"
"بخت جہان","گوبند سنگھ",22,"1 2 4 5 58 60 61 72 73 74 75 77 78","1:2 2:2 3:2 3:5 4:5 5:5 6:5 56:61 60:61 61:61 62:61 70:75 71:75 72:75 73:75 74:75 75:75 76:75 76:78 77:78 78:78 79:78"
"بھاگ بھری","بہشت بی بی",3,"2 62","3:1 60:64 61:64"
"بھاگ بھری","جسونت سنگھ",3,"2 3","3:1 3:3 4:3"
"بھاگ بھری","حافظ جی",10,"5 60 62 72 74 76 77","3:7 4:7 60:60 61:60 61:64 74:70 74:74 78:74 78:75 78:76"
"بھاگ بھری","رابعہ بی بی",1,"79","78:81"
"بھاگ بھری","روشن بخش",4,"60 61 75 77","60:61 61:61 74:77 78:77"
"بھاگ بھری","زینب بیگم",3,"2 5","3:2 3:7 4:7"
"بھاگ بھری","سکھ دیپ سنگھ",1,"2","3:1"
"بھاگ بھری","شیداں پاؤنڈوں والی",2,"5 6","3:8 4:8"
"بھاگ بھری","صاحباں",2,"4 5","3:6 4:6"
"بھاگ بھری","صغرا بی بی",1,"57","60:55"
"بھاگ بھری","عزیز جہان",1,"58","60:56"
"بھاگ بھری","غلام محمد",6,"4 60 61 76 78","3:5 4:5 60:61 61:61 74:78 78:78"
"بھاگ بھری","لبناں سنگھ",5,"60 61 75 77 78","60:61 61:61 74:77 78:77 78:79"
"بھاگ بھری","محمد جہان نمبردار",10,"5 58 59 61 62 72 79","3:7 4:7 60:56 60:57 60:58 60:59 60:63 61:63 74:70 78:80"
"بھاگ بھری","محکم دین",1,"79","78:81"
"بھاگ بھری","نور بیگم",3,"2 4","3:2 3:5 4:5"
"بھاگ بھری","چھیمو",2,"60","60:60 61:60"
"بھاگ بھری","کنیز فاطمہ",16,"2 3 4 60 61 71 72 73 74 76 77 78","3:2 3:3 4:3 4:5 60:60 61:60 61:61 74:69 74:70 74:71 74:73 74:74 78:74 78:76 78:77 78:78"
"بھاگ بھری","گوبند سنگھ",8,"2 4 60 61 74 76 78","3:2 3:5 4:5 60:61 61:61 74:75 78:75 78:78"
"بہشت بی بی","جسونت سنگھ",1,"1","1:1"
"بہشت بی بی","حافظ جی",8,"27 28 52 62 64 65 68","25:30 27:30 51:54 64:60 64:64 66:64 66:65 66:70"
"بہشت بی بی","حیات بی بی",5,"24 25 26 28 51","23:25 25:25 27:25 27:29 51:51"
"بہشت بی بی","رابعہ بی بی",4,"88 93 94","91:86 91:96 92:96 93:96"
"بہشت بی بی","روشن بخش",9,"24 25 26 28 62 88 93 94","23:25 25:25 27:25 27:29 64:61 91:86 91:96 92:96 93:96"
"بہشت بی بی","زہراں بی بی",1,"90","91:89"
"بہشت بی بی","زینب بیگم",1,"1","1:2"
"بہشت بی بی","سکھ دیپ سنگھ",1,"1","1:1"
"بہشت بی بی","شیداں پاؤنڈوں والی",3,"23 24 51","23:24 25:24 51:51"
"بہشت بی بی","صاحباں",10,"3 21 22 29 37 38 39","1:6 23:19 23:20 23:21 27:31 40:35 40:36 40:37 40:38 40:39"
"بہشت بی بی","صغرا بی بی",14,"22 23 24 25 26 27 40 51 65 66 91","23:22 23:23 25:23 25:24 25:25 27:25 27:26 27:27 40:40 51:51 64:67 66:67 91:91 92:91"
"بہشت بی بی","عزیز جہان",4,"25 26 27 53","23:27 25:27 27:27 51:56"
"بہشت بی بی","غلام محمد",2,"3 62","1:5 64:61"
"بہشت بی بی","لبناں سنگھ",5,"42 48 49 62","40:45 51:46 51:47 51:48 64:61"
"بہشت بی بی","محمد جہان نمبردار",24,"21 24 25 26 27 37 40 48 49 53 61 63 64 65 66 90 91 92","23:19 23:20 23:25 25:25 27:25 27:26 27:27 40:35 40:40 51:46 51:48 51:56 64:59 64:63 64:64 66:64 66:65 66:66 91:89 91:90 91:91 92:91 92:92 93:92"
"بہشت بی بی","محکم دین",4,"88 93 94","91:86 91:96 92:96 93:96"
"بہشت بی بی","نور بیگم",8,"1 20 21 25 26 27 40 50","1:2 23:18 23:19 23:27 25:27 27:27 40:40 51:49"
"بہشت بی بی","چھیمو",3,"50 51 62","51:50 51:52 64:60"
"بہشت بی بی","کنیز فاطمہ",15,"1 21 22 37 38 49 50 62 64 65 67","1:2 23:19 23:20 23:21 40:35 40:36 40:37 51:47 51:48 51:49 64:60 64:61 64:64 66:64 66:69"
"بہشت بی بی","گوبند سنگھ",2,"1 62","1:2 64:61"
"جسونت سنگھ","حافظ جی",1,"5","3:7"
"جسونت سنگھ","زینب بیگم",3,"1 2 5","1:2 3:2 3:7"
"جسونت سنگھ","سکھ دیپ سنگھ",2,"1 2","1:1 3:1"
"جسونت سنگھ","شیداں پاؤنڈوں والی",1,"5","3:8"
"جسونت سنگھ","صاحباں",2,"3 4","1:6 3:6"
"جسونت سنگھ","غلام محمد",2,"3 4","1:5 3:5"
"جسونت سنگھ","محمد جہان نمبردار",1,"5","3:7"
"جسونت سنگھ","نور بیگم",3,"1 2 4","1:2 3:2 3:5"
"جسونت سنگھ","کنیز فاطمہ",3,"1 2 3","1:2 3:2 3:3"
"جسونت سنگھ","گوبند سنگھ",3,"1 2 4","1:2 3:2 3:5"
"حافظ جی","حیات بی بی",4,"27 29 52 53","30:25 30:29 54:51 54:53"
"حافظ جی","رابعہ بی بی",1,"78","76:81"
"حافظ جی","روشن بخش",16,"9 11 12 27 29 30 31 32 33 34 60 62 75 76","7:11 12:11 12:13 30:25 30:29 30:31 32:31 32:32 33:32 33:34 34:34 60:61 64:61 74:77 75:77 76:77"
"حافظ جی","زینب بیگم",6,"4 7 9 10 13","7:2 7:7 12:7 12:8 12:9 12:15"
"حافظ جی","شیداں پاؤنڈوں والی",4,"7 10 52 53","7:8 12:8 54:51 54:53"
"حافظ جی","صاحباں",10,"6 8 11 12 30 31 32 33 34","7:6 7:10 12:10 12:12 30:31 32:31 32:33 33:33 34:33 34:34"
"حافظ جی","صغرا بی بی",18,"8 11 27 28 29 30 31 32 52 53 54 57 65 66 68","7:10 12:10 30:25 30:26 30:27 30:28 30:29 30:30 32:30 32:32 33:32 54:51 54:53 54:54 60:55 64:67 65:67 70:67"
"حافظ جی","عزیز جہان",3,"28 55 58","30:27 54:56 60:56"
"حافظ جی","غلام محمد",6,"6 60 62 76 77","7:5 60:61 64:61 74:78 75:78 76:78"
"حافظ جی","لبناں سنگھ",5,"60 62 75 76","60:61 64:61 74:77 75:77 76:77"
"حافظ جی","محمد جہان نمبردار",31,"7 9 10 11 13 27 28 30 31 33 34 55 58 59 61 63 64 65 67 68 69 70 72 77 78","7:7 12:7 12:9 12:11 12:15 30:25 30:26 30:27 30:30 32:30 32:35 33:35 34:35 54:56 60:56 60:57 60:58 60:59 60:63 64:63 64:64 65:64 65:65 70:65 70:66 70:67 70:68 70:70 74:70 75:80 76:80"
"حافظ جی","محکم دین",1,"78","76:81"
"حافظ جی","نور بیگم",11,"4 6 7 10 12 28 29 30 31 51","7:2 7:5 7:8 12:8 12:9 12:13 30:27 30:29 30:30 32:30 54:49"
"حافظ جی","پیر بخش",2,"9 12","7:12 12:12"
"حافظ جی","چھیمو",4,"52 53 60 62","54:50 54:52 60:60 64:60"
"حافظ جی","کنیز فاطمہ",30,"4 5 6 7 9 10 11 12 31 32 33 34 51 60 62 64 67 69 70 72 73 74 75 76","7:2 7:3 7:5 7:7 12:7 12:9 12:10 12:11 12:12 30:33 32:33 33:33 34:33 34:35 54:49 60:60 64:60 64:61 64:64 65:64 65:69 70:69 70:70 74:70 74:71 74:73 74:74 75:74 75:76 76:76"
"حافظ جی","گوبند سنگھ",9,"4 6 60 62 72 74 75 77","7:2 7:5 60:61 64:61 70:75 74:75 75:75 76:75 76:78"
"حیات بی بی","روشن بخش",3,"25 27 29","25:25 29:25 29:29"
"حیات بی بی","شیداں پاؤنڈوں والی",4,"24 51 52 53","25:24 51:51 53:51 53:53"
"حیات بی بی","صاحباں",3,"22 23 30","25:20 25:21 29:31"
"حیات بی بی","صغرا بی بی",12,"23 24 25 27 28 29 51 52 53","25:22 25:23 25:24 25:25 29:25 29:26 29:27 29:28 29:29 51:51 53:51 53:53"
"حیات بی بی","عزیز جہان",4,"26 28 53 54","25:27 29:27 51:56 53:56"
"حیات بی بی","لبناں سنگھ",3,"48 49","51:46 51:47 51:48"
"حیات بی بی","محمد جہان نمبردار",10,"22 25 27 28 29 48 49 53 54","25:20 25:25 29:25 29:26 29:27 29:30 51:46 51:48 51:56 53:56"
"حیات بی بی","نور بیگم",4,"26 28 29 50","25:27 29:27 29:29 51:49"
"حیات بی بی","چھیمو",3,"50 51 52","51:50 51:52 53:52"
"حیات بی بی","کنیز فاطمہ",6,"22 23 31 49 50","25:20 25:21 29:33 51:47 51:48 51:49"
"رابعہ بی بی","روشن بخش",6,"79 83 84 85 86 96","81:77 81:85 84:85 86:85 86:86 96:96"
"رابعہ بی بی","زہراں بی بی",2,"86 87","84:89 86:89"
"رابعہ بی بی","صغرا بی بی",2,"88 93","86:91 96:91"
"رابعہ بی بی","غلام محمد",1,"79","81:78"
"رابعہ بی بی","لبناں سنگھ",2,"79 80","81:77 81:79"
"رابعہ بی بی","محمد جہان نمبردار",5,"80 86 87 93 94","81:80 84:89 86:89 96:91 96:92"
"رابعہ بی بی","محکم دین",6,"81 82 84 85 86 96","81:81 84:81 84:84 86:84 86:86 96:96"
"رابعہ بی بی","کنیز فاطمہ",4,"78 79 80","81:76 81:77 81:78 81:79"
"رابعہ بی بی","گوبند سنگھ",1,"79","81:78"
"روشن بخش","زہراں بی بی",2,"87","85:89 86:89"
"روشن بخش","زینب بیگم",7,"9 10 13 14 15 16","11:7 11:8 11:9 11:15 13:15 16:15 16:16"
"روشن بخش","شیداں پاؤنڈوں والی",2,"9 24","11:8 25:24"
"روشن بخش","صاحباں",13,"8 10 11 12 17 22 23 30 31 32 33 34","11:6 11:10 11:12 13:12 16:19 25:20 25:21 29:31 31:31 32:31 32:33 34:33 34:34"
"روشن بخش","صغرا بی بی",17,"10 23 24 25 27 28 29 30 31 32 33 88 93","11:10 25:22 25:23 25:24 25:25 29:25 29:26 29:27 29:28 29:29 31:29 31:30 31:32 32:32 34:32 86:91 96:91"
"روشن بخش","عزیز جہان",3,"26 28 58","25:27 29:27 61:56"
"روشن بخش","غلام محمد",2,"61 77","61:61 77:78"
"روشن بخش","لبناں سنگھ",2,"61 77","61:61 77:77"
"روشن بخش","محمد جہان نمبردار",28,"9 10 11 12 14 15 16 22 25 27 28 29 30 33 34 58 59 60 62 78 82 87 93 94","11:7 11:9 11:11 13:11 13:15 16:15 16:17 25:20 25:25 29:25 29:26 29:27 29:30 31:30 31:35 32:35 34:35 61:56 61:57 61:58 61:59 61:63 77:80 85:80 85:89 86:89 96:91 96:92"
"روشن بخش","محکم دین",6,"79 83 84 85 86 96","77:81 85:81 85:84 85:86 86:86 96:96"
"روشن بخش","نور بیگم",13,"9 10 12 13 14 15 16 26 28 29 30","11:8 11:9 11:13 13:13 16:13 16:14 16:15 16:16 25:27 29:27 29:29 31:29 31:30"
"روشن بخش","پیر بخش",2,"11 12","11:12 13:12"
"روشن بخش","چھیمو",1,"60","61:60"
"روشن بخش","کنیز فاطمہ",20,"9 10 11 12 17 22 23 31 32 33 34 60 61 75 76 77","11:7 11:9 11:10 11:11 13:11 13:12 16:19 25:20 25:21 29:33 31:33 32:33 34:33 34:35 61:60 61:61 77:73 77:74 77:76 77:77"
"روشن بخش","گوبند سنگھ",3,"61 76 77","61:61 77:75 77:78"
"زہراں بی بی","صغرا بی بی",1,"90","89:91"
"زہراں بی بی","محمد جہان نمبردار",1,"89","89:89"
"زہراں بی بی","محکم دین",2,"86 87","89:84 89:86"
"زینب بیگم","سکھ دیپ سنگھ",1,"1","2:1"
"زینب بیگم","شیداں پاؤنڈوں والی",3,"7 8","7:8 8:8 9:8"
"زینب بیگم","صاحباں",9,"4 6 8 9 12 13 17","2:6 7:6 7:10 8:10 9:10 15:10 15:12 15:19 16:19"
"زینب بیگم","صغرا بی بی",4,"8 9 12","7:10 8:10 9:10 15:10"
"زینب بیگم","غلام محمد",2,"3 6","2:5 7:5"
"زینب بیگم","محمد جہان نمبردار",9,"4 7 8 9 13 15 16","2:7 7:7 8:7 8:9 9:9 15:11 15:15 16:15 16:17"
"زینب بیگم","نور بیگم",12,"2 4 6 7 8 9 14 15 16","2:2 7:2 7:5 7:8 8:8 9:8 9:9 15:13 15:14 15:15 16:15 16:16"
"زینب بیگم","پیر بخش",4,"9 10 13","7:12 8:12 9:12 15:12"
