book_id,author,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
20,BanoQudsia,0.84815645,0.7435283,-0.07173085,1.3356314,0.4958756,0.02900234,-0.23858652,-0.2255262,0.35406324,1.3490539,1.4921899,0.38917738,1.6558067,0.17978123,0.60395557,0.20623337,-0.12866196,-0.353176,-0.23815738,1.9809008,2.4838548,1.9746321,0.86103034,0.94592386,0.9638171,0.29478535,0.7667642,0.3418876,-0.072069675,1.2334265,-0.1373542,1.3298804,0.19043224,-0.10142778,-0.30845124,0.9463119,1.4839735,0.070561424,0.462195,0.43154654,1.5708865,0.2679923,1.9651426,-0.41177708,1.7313205,1.5033811,1.184494,0.6427001,0.4480759,2.0950944,2.6406405,0.42046323,0.42806795,0.5885525,-0.027943013,0.54655004,-0.22048104,-0.13312885,0.0076073892,0.50424594,0.29709047,0.20163852,0.7441829,-0.27578828
21,BanoQudsia,0.34244668,0.4030981,1.242992,0.88107747,1.9823806,0.8831504,1.547088,1.281951,0.10420785,0.9026702,0.011571529,0.6945926,2.0869431,0.12615328,0.21399504,0.090059996,1.048288,0.466772,0.80676407,0.30274162,1.0522645,0.7871341,0.64863324,1.1157281,0.4959285,0.6362078,0.51635355,0.070750944,0.057009205,0.82720923,0.6975725,0.27390444,0.57042223,1.2904544,1.1420964,0.7950132,-0.046718948,-0.050184146,0.16880906,0.2987142,0.048996236,0.12881422,0.32957536,0.13997751,2.6147075,0.14912048,2.4180617,2.3478994,0.36895174,1.671722,1.0222622,0.12677747,1.655494,0.33124954,1.1255023,0.0035013477,1.0572731,1.9853562,1.1442415,0.07624948,0.634793,0.09045847,0.3953894,-0.10260974
22,IntazarHussain,2.6829767,1.9221965,2.0555153,3.9671936,0.4785193,0.14945798,0.9384395,0.014245644,1.4198191,3.128358,-0.6363979,3.0815468,-0.071434915,1.1867073,0.06581617,1.3910339,1.9940954,0.16200507,-0.43959442,-0.9330359,-0.8973978,-0.88056606,2.778035,-0.41935915,2.596931,2.7167091,1.8155575,0.9789351,1.6372464,2.9415653,1.2415357,-0.085161895,2.4236884,1.8139186,0.21812011,1.9821594,-0.7585806,0.41039577,1.7937062,2.0413542,-0.8866625,0.6780407,-0.92329377,0.31318364,-0.23253162,-0.5295736,0.3394581,0.6586396,1.5883883,-0.28546265,-0.95882076,1.6067191,1.3635366,0.70018727,2.253747,0.29862815,0.23217258,0.6976064,2.4132383,1.2819142,2.591347,1.0778192,1.7843972,0.62808067
23,IntazarHussain,1.4826418,1.265885,1.8228116,2.46359,1.1665667,0.47319674,1.3144698,0.4928672,0.8362588,2.1786547,-0.46172178,2.221089,0.6616044,0.6650442,0.19438645,0.8432609,1.7088015,0.36295745,-0.09933811,-0.65067554,-0.34333852,-0.45642534,1.8223398,0.06299903,1.6101704,1.9637634,1.3503742,0.6325679,0.9750184,2.047864,0.858886,0.2978803,1.7744552,1.5999482,0.51183677,1.6976148,-0.48863375,0.3620474,0.98237145,1.3675631,-0.6352889,0.6714693,-0.6451962,0.43510887,0.8548584,-0.14321718,1.1412989,1.3323468,1.0308125,0.12471497,-0.5860542,0.945699,1.6706774,0.8197732,1.8281348,0.14875118,0.7161379,1.2574282,1.8391161,0.7020564,1.9195684,0.83239704,1.1982638,0.35337263
24,IntazarHussain,-0.33706003,-0.47350892,2.021516,0.65758395,0.71291345,2.0858586,1.2795775,0.6783216,1.154502,-0.030579872,-0.8119232,2.8445637,-0.3459537,1.4159104,0.09097582,1.598718,2.343869,1.9130511,0.6510245,-0.67535114,-0.61999583,-0.45168883,0.68177044,-0.0074439477,-0.2629434,2.5502238,0.7164139,0.16274606,2.0333345,0.44296858,0.9853145,-0.45967782,2.1138551,1.5949422,0.5318143,1.2719183,-0.7131104,1.4783324,-0.0847954,1.3636434,-0.5554778,1.1760596,-0.66479313,2.518897,0.17586364,-0.41963875,0.4224511,0.6539294,-0.48266783,-0.77016515,-0.5101976,1.1102291,-0.5357723,0.3652388,2.4097703,-0.2125036,1.9273748,0.9439462,2.0735688,-0.409736,2.4960134,1.4459364,-0.40367094,2.2199667
25,IntazarHussain,1.8017024,1.464174,0.64588004,3.6684327,-0.62244946,-0.54134846,-0.24338582,-0.68315846,1.22823,2.515343,-0.19589336,2.9614613,-0.790176,0.67031753,0.76133186,1.063065,0.81315625,-0.27074274,-0.79454905,-0.8214198,-0.9133994,-0.88504267,2.979311,-0.7924318,2.1344242,2.2345877,2.1848,0.9081338,1.389626,2.865961,-0.041206338,0.60512525,2.0023365,0.29973754,-0.60331345,2.8685355,-0.50881153,0.71409494,1.2493588,2.3323715,-0.6694053,1.4326869,-0.79773325,0.10978986,-0.8640763,0.11454425,-0.72419494,-0.600311,1.420526,-0.7688785,-0.95127755,1.2711116,0.6892246,1.4915432,0.7583109,0.41376945,-0.45534936,-0.5579113,0.6623151,1.0461608,2.6585038,1.4507525,1.4222634,0.28384554
26,IntazarHussain,1.1168036,0.89966893,1.5221225,2.1651623,0.3710547,0.4433786,0.6883426,-0.013227781,0.9259816,1.6480727,-0.5059714,2.6263568,-0.15115486,0.7068529,0.45636243,0.887805,1.6066817,0.7596949,-0.2812962,-0.69370013,-0.45259157,-0.33407578,1.783599,-0.079603754,1.2178214,2.265142,1.3980596,0.55588746,1.4439958,1.7883451,0.71845204,0.17779939,1.9561915,1.1654161,-0.04202212,1.856095,-0.44597796,0.7928717,0.7339302,1.6560407,-0.6406776,0.8804307,-0.6189117,0.9764243,-0.112290055,-0.20525324,0.3037959,0.3749744,0.70542425,-0.57814926,-0.40980342,0.9306634,0.61166763,0.7868958,1.6376096,0.041728217,0.8419098,0.34265533,1.6185575,0.53271574,2.2894528,1.2566724,0.85763526,0.8843756
27,IntazarHussain,1.1983438,0.98833793,1.5900121,2.3131144,0.5160839,0.32448438,1.0640823,0.37073678,0.9233049,1.8021377,-0.63044554,2.5465417,-0.033014268,0.71821624,0.22173804,0.92854553,1.6891161,0.62998784,-0.05091402,-0.84964454,-0.8026197,-0.7302106,1.8459272,-0.1765748,1.3223385,2.1963558,1.3351325,0.61231434,1.2547927,1.8348861,0.6389813,0.09589034,1.9264145,1.4092808,0.43531725,1.795528,-0.6822491,0.5769623,0.8899843,1.4634633,-0.8052676,0.8330751,-0.8311274,0.66509634,0.028512664,-0.2783822,0.39643723,0.6590883,0.91159785,-0.36777487,-0.82463455,0.9949776,1.5933793,0.83067614,1.7394435,0.09805346,0.7811797,0.86178845,1.62923,0.5178297,2.2345433,0.99183285,0.9202489,0.59052926
28,MunshiPremchand,-0.35816583,0.09505312,-0.9419609,-0.2702945,-0.24841231,0.59074086,-0.95118314,-0.720531,-0.08205071,0.39497802,3.0124955,-0.6600038,2.2745547,-0.15377277,0.6211728,-0.3362565,-0.93003744,-0.6296606,0.034113906,5.555576,5.409878,4.5386977,-0.28270093,1.9065456,-0.10966055,-0.6955785,0.17973974,0.07375156,-0.7300232,0.2577131,-0.80809736,3.0590446,-0.7453724,-0.9383493,-0.88650626,0.30486274,3.6531873,0.20831719,-0.32482573,-0.46842328,4.3761873,0.008930576,5.1302214,-0.65080154,2.9227476,3.6218727,1.1805338,-0.21066414,-0.44077414,3.4914715,6.28665,-0.1025862,-0.63941026,0.5111268,-0.91162145,1.1143425,-0.5821342,-0.93548703,-0.9183806,0.041746434,-0.6656071,-0.28291732,0.22166836,-0.494007
29,MunshiPremchand,-0.17024635,0.047688432,-0.49928594,-0.039814003,0.22819336,0.55886054,-0.476672,-0.30575714,-0.1053366,0.27432838,2.5787566,-0.34084815,2.6880028,-0.099006884,0.20524015,-0.25510466,-0.5049499,-0.5357624,0.2257866,4.656487,4.8212743,3.8296745,-0.21008748,1.8987694,-0.05047404,-0.4067607,-0.073450685,-0.052368674,-0.5779733,0.10847623,-0.5245171,2.2581902,-0.45523345,-0.4522104,-0.4339238,-0.035787173,2.866002,-0.09252581,-0.18795216,-0.4245749,3.5906942,-0.24178475,4.3082,-0.64595395,3.2941349,2.8171966,1.6929606,0.39633116,-0.24658354,3.7086263,5.278927,-0.067818105,0.067282565,0.09783032,-0.4736413,0.9452895,-0.37521094,-0.36206934,-0.4858549,-0.019455861,-0.36556822,-0.42697793,0.09873865,-0.50620407
